song,genre
Air cushioned soles bought Portbello Road Saturday stop stare awhile common pastime conversation goes astray And dont think walking She dont mind Whatever say whatever say dont really want change thing want stay way forever Blue blue jeans wear every day Theres particular reason change thoughts getting banal cant help But wont pull hair another day And dont think walking She dont mind Whatever say Whatever say dont really want change thing want stay way forever dont mind Whatever say Whatever say dont really want change thing want stay way forever You know Dont give yet Dont think walking She dont mind Whatever say Whatever say dont really want change thing want stay way forever dont mind Whatever say Whatever say dont really want change thing want stay way forever You know,alternative rock
When see see dancing Own reflection never bent man shaking bone bag One day another dont want hurt ever ever This street stay sleep Youre outside sunny days Nicotine flow stops pain grow Stay nearly dont want hurt ever ever This street stay sleep Youre outside sunny days man shaking bone bag One day another day dont want hurt ever ever,alternative rock
offender They let summer think coma didnt know You hang around round Ill watch hang Look Bugman You hang around around Ill watch hang Look Bugman got sent existence know nodding dogs city stay away bugs yeah You hang around around watch hang Look Bugman You hang around around watch hang Look Bugman The man city stay away bugs yeah city,alternative rock
makes inner arm block Then kicks behind The lights But fight blind Cause got touch But wont live long Cause comes Hong Kong Where people strong Chinese bombs millions jump Chairmans junk USA Wont somebody wont somebody Sink place Got cab Soho The dragon says Let everyone know You got touch You come Hong Kong Where people strong And wont live long Chinese bombs millions jump Chairmans junk USA Wont somebody wont somebody Bruce Lee comes save day Bruce Lee comes save Chinese way,alternative rock
Gonna sail bird like private jet Youre one youre one head oughta get clear Youll find song long Ive got healthy feeling sleepy feeling sleepy feeling Today gone day gone today gone store golf floor cowboys song cowboys song Youre one youre one cowboys song youre one Ive got healthy feeling sleepy feeling sleepy feeling Its gone today gone gone Ive got sleepy feeling new slept feeling sleepy feel Its gone today gone today gone,alternative rock
Meanie Leanie come Come entertain town Its friday night bored Times called Times called bore Dan Abnormal normal Its fault made way Hell imitate try ape But fault Dan watches The meanie Leanie stays late Mopes around gets state killer arcade Killing gangstas ready made Cause futures made Tele port Dan went local burger bar want McNormal chips Ill blow bits Give Its miseries half past three Watching video nasties dirty dreams hes asleep Dans like Hes Meanie Leanie Dan Abnormal normal Its fault made way Hell imitate try ape But fault Dan Abnormals,alternative rock
The death party Came surprise Why bother Should stayed away Another night And thought Well well another party hang Gently shelf The death teenager Standing Why bother Should slept alone Another night And thought Well well another party hang Gently shelf Another night And thought Well well another party hang Gently shelf,alternative rock
pump poison Into body forget That feels good Wonderful forget feelings Youre dizzy floated Fifteen miles high Stuck head All holes sky looked across universe And thought Youre dizzy And dizzy became lunatic With rolling eyes Squirming ground Frozen ice Called mother Said Mother please Feed sky Falls Youre dizzy,alternative rock
You try change try hard waiting begin Ahhhh forgetting That makes wonder Trying hard find sense theres none Ahhh Down Staring sun day stare long get burned away Now theres nothing left Ahhh Forgetting blame past faded away Now tell everything know Ahhh Down,alternative rock
This isnt first time Ive left late get top made mistake someone Never find need dont bail And cant sleep You left Just needed You set back Just thought got back Just thought got back This last time make mistake Cant see stars Yeah late someone Never find need dont bail Yeah cant sleep,alternative rock
They stumbled lives vague way became man wife One got deserved one another They settled brand new town With people background They kept busy Long hours left dizzy Now hes shes All ever fade away They making plans Because understand All ever fade away noticed visible lines She worried behind Their birth death didnt really bother Now shes hes,alternative rock
Sorry dont understand The things say make sense Funny think mean This time dont know think fool But couldnt try forgive fool One time Sorry really listening Ive got mind something else know want dont But easy seems know think But fed know want leave amazed cold Well may weak insipid soul grow stronger absence,alternative rock
Wake straight caught sun first day April Out bed thought plane crash But sure Dreaming course caffeine science submission Another day little island bell hangs Porridge done take kid school past pound shop Woolworths Under bridge subway daytime Westway flies Then bike Ladbroke Grove forthcoming dramas studio love sweet music cant let Let let let let meditate weve become cold day springtime Civil war born raise left hand right sing Dont capitulate forces marketplace theyve long departed Consolidate love together cold day springtime,alternative rock
Hes twentieth century boy With hands rails Trying sick And holding tomorrow London ice cracks seamless line Hes hanging dear life And hold tightly And hold tomorrow lla lla lla lalala lla lla lla lalala lla lla lla lalala Holding tomorrow Shes twentieth century girl With hands wheel Trying sick Seeing borrow Londons nice back seamless rhymes But lost West way hold tightly And wait tomorrow Were trying sick And holding tomorrow Shes twentieth century girl Holding dear life And hold tightly And hold tomorrow holding tomorrow Youre holding tomorrow,alternative rock
strange Sometimes think youve gone insane Twisted hearts youve gone insane giddy world Couldnt begin Where odd lines hardly know Couldnt put goal Just Did say want know Talking goal Would please leave alone Cant see want would like give head Just see dead like get pretty head And would amuse see How feel How feel always getting fried Did say want know Were talking goal Would please leave alone Cant see want Cant see want OhIm going fly,alternative rock
got brain left hand drive dont asleep side ride bullet like Steve McQueen Each town intervene gram keef barn jumping Its alright got time Got radio hit mind Cant see blind Every night day USAI DELETE MYSELF Got know gene gene Youre jellybean Get shower And force dead clean Fatboy barn jumping Its alright tight GOT GET better Business DEEP Happiness,alternative rock
Moscows still red The young mans dead Gone heaven instead The evening news says confused The motorways merge soon Lottery winner buys moon Theyve come save The space invaders thought cars And drive And drive And one one Theres panic London Heathrow Everybody wants blue But theres ten year queue Columbia top gear shouldnt snow time year Now Americas shot gone And done lot thought planes Where fly And fly And one one,alternative rock
When come Which sometimes Dont think really want When come Which always Dont think expect give You talk much Which sometimes Dont think really want And talk much But always Dont think really need give give,alternative rock
always knew would someone somewhere Who always knew would noone nowhere Who anything like All All one hanging around Going nowhere Waiting happen always knew would noone nowhere Who anything like All All Youre one always knew would someone somewhere Who always knew would noone nowhere Who anything like All All Youre one,alternative rock
Your man always flaming Hes hitting head wall knows Ive always found complicated boy tried shut And like know Its alright Theres world around need know alright need worry Cause fine Your man lost meaning Smash head wall Hes coming back You give strangest feeling You shut You Then Then Then Then And like know Its alright Theres world around need know alright need worry Cause fine fine And like know alright Its world around need know alright need worry Cause fine fine fine fine,alternative rock
heard man lungs took made lunch told lost friend smiled end said killer love killer love killer love killer love cut hair road take coat dropped load wipe hands grass Cause know nothing ever lasts And said killer love killer love killer love killer love,alternative rock
starts feeling makes inference difference still wont see Faint lack air makes whistle twistle But one hear didnt stay long away stay long could happy Cause heart know think Into another You dead Sleep Harlows bed Into another You dead Sleep Harlows bed Listening tune With headphone volume read lips And clinical term hear said Everything beautiful nothing hurt Into another You dead Sleep Harlows bed Into another You dead Sleep Harlows bed,alternative rock
Churchill got lucky number But tomorrow theres another Could could silver spoon Sticky teeth rot soon Youve got best tunes thats youve blown All want happy homes like happy families man beach The world feet Yes could The likely lads Are picking uglies Yesterday puppies Beery slurs lifes blur Telly addicts You see Getting panic Will Trafalgar Square dont worry lucky number Because tomorrow another Could could,alternative rock
Jubilee slouches settee Hes losing move gone divy much telly watching hours rubbish got butane got plastic bags His eyes going square yeah raver anti social going cut hair dresses incorrectly noone told seventeen mean Enough dresses incorrectly noone told seventeenhe keen Being like anyone else Jubilees dad billy banker thinks son slob get stop scabbing really get job dresses incorrectly noone told seventeen mean enough dresses incorrectly noone told But dont get enough dresses incorrectly noone told talk girls But hes spotty dresses incorrectly noone told seventeen keen like anyone else plays computer games dresses incorrectly noone told seventeen mean enough dresses incorrectly noone told But dont get enough dresses incorrectly noone told talk girls But hes spotty dresses incorrectly noone told seventeen keen like Anyone hes like Anyone jubilees like Anyone else,alternative rock
One night half dozen tourists met together Trafalgar Square fourth nights tour continent planned And portmento hand Down Rhine ment picnic Joan siad must decline The boys advised Stay away Germany Whats good going Rhine Lets strand Lets strand Ill leader You march behind Come see find Lets strand happy land Thats place fun noise All amoung girls boys lets strand One day convicts Satted little cells The bell sounded dingadingadong exercise prisoners came along Buggler Ben exclaimed Jacks The Warden sir Its strange The men tired going round Round round old ground purpose make little change Gray crowds gathered round welcome Shackleton returning poll The Lord Mayor welcomed galant crew And said lads Ive got treat Come The mansion house awaits banquet shall supplied But towering grumbling mood Said dont want food Then turned Shackleton sighed,alternative rock
malady taken Coughing tar Japanese motor The lights magic And feels lucky And hes got money Shoots like arrow London loves The mystery speeding car London loves The misery speeding heart Its love like everyones And words cheap mind elastic loves violence Keeps ticking sleep together Before today sold forever London loves The way people fall apart London loves The way dont stand chance London loves The misery speeding heart London loves The mystery speeding car London loves The misery speeding heart London loves The mystery hey hey London loves The way people fall apart London loves The way dont stand chance London loves The speeding heart,alternative rock
What got Mass produced somewhere hot Youll Underground get things done And service done This place come well know hot spot Crossing guillotine And nobody left rely Ill hold arms let drift Its got time And soon get get past way Theres nothing ashamed Taking The East Grinstead Youve set And talking types let Talk talk arse night You wanna Step inside tarmac ride land time forgot gonna Cracks inside tarmac ride land crime forgot And nobody left rely Ill hold arms let drift Going Lonesome Street Going Lonesome Street Lonesome Street Going Lonesome Street Lonesome Street Going Lonesome Street Lonesome Street,alternative rock
Good morning lethargy Drink pepsi good energy The baths smoke bedroom Sore throat neck nasty bruise And came well dont know But played last night good show Got play second rate chat show Its nation wide deal gotta Chap company says alright Got add KRO And theres instore tonight Well built things And let Got get time share radio Look inside America shes alright shes alright Sitting distance But trying make mine Looking America With kooky nights suicide Where says alright Coz everybodys hung something Steppin driver says sleep tonight But think Ill watch videos instead Annie Hall leaves New York end Press rewind Woody gets back And whole world could passed But dont know means much Look inside America Shes alright shes alright Sitting distance But trying make mine looking America With kooky nights suicide Where says alright Coz everybodys strung something And whole world Could passed But dont know means much,alternative rock
The trees spinning oxygen Theyre rockets fear let disappear Then disappear surely disappear The road hot dusty The desert needs beer But blow disappear Then disappear surely disappear blow disappear disappear surely disappear disappear disappear disappear disappear disappear,alternative rock
Here Dirty knickers pop music vodka gin Your knees sore mustve wars Theres something celebrate lives heres begins well see weve grown One born every minute youre never never alone One born every minute day Dosey clocks cause volatile tots Sleep together never Dirty knickers pop music vodka beer gin well see weve grown One born every minute youre never never alone One born every minute day,alternative rock
Wheres love song set free Too many people Everything turning wrong way round And dont know life would stop dreaming Lord knows wed never clear clouds And youve busy lately havent found time open mind And watch world spinning gently time Feel sunshine face Its computer Gone future way space And youve busy lately havent found time open mind And watch world spinning gently time And youve busy lately havent found time open mind And watch world spinning gently time Tell dreaming But time Were time Out time Out time Out time Out time,alternative rock
Confidence preference habitual voyeur known And morning soup avoided take route straight known Johns got brewers croop gets intimidated dirty pigeons love bit Whos gut lord marching You cut porklife mate get exercise All people many people They hand hand Hand hand parklife Know mean get want except Wednesdays When get rudely awakened dustman put trousers cup tea And think leaving house feed pigeons sometimes feed sparrows gives sense enormous wellbeing And happy rest day safe knowledge There always bit heart devoted All people many people And hand hand Hand hand Parklife Parklife Parklife Its got nothing Vorsprung durch technique know And joggers Who round round round All people many people And hand hand Hand hand Parklife All people many people And hand hand Hand hand Parklife,alternative rock
Now fall ground cant get well never mind know youll pull bones And say sand polished stone Todays gone wont long Before fall asleep forget weve done wont get cause today fun Were alone Now bite tongue And alcohols gone wont feel thing cant carry Todays gone wont long Before fall asleep forget weve done wont get cause today fun Were alone Its numb Its numb Its numb,alternative rock
Woohoo Woohoo Woohoo Woohoo got head checked jumbo jet wasnt easy But nothing Woohoo When feel heavymetal And pins needles Well lie easy All time never sure Why need Pleased meet got head When young Its problem Its problem Woohoo When feel heavymetal And pins needles Well lie easy All time never sure Why need Pleased meet Yeah yeah Yeah yeah Yeah yeah yeah,alternative rock
You try suffer Unemic birther Gets wayey never earns Wohoo Cause run easy Wohoo Wohoo Cause youre sick youre easy All get ever say Cause youre never pleased see never taught And cause easy Shes problem Its problem Wohoo Cause know name Wohoo And Wohoo ever regret You dont say never deem Cause youre never pleased see Yeah,alternative rock
This next century The Universal free You find anywhere Yes future sold Every night gone And karaoke songs like sing along Although words wrong really really really could happen Yes really really really could happen When days seem fall straight Just let one alone Satellites every home The Universal Here everyone Every paper read Says tomorrow lucky day Well heres lucky day,alternative rock
works civil service steady employment golfing fanatic put erratic saw harley street doctor prescribed healthy living hes getting past forty seams splitting Everyday got closer knew heart love stay normal But overrated left home without warning five morning got first train walton stood seafront threw clothes water ran around naked got stopped police escorted back home Everyday got closer knew heart love stay normal But overrated Tracy Jacks Tracy Jacks Tracy Jacks Tracy Jacks And happened Tuesday morning Tracy Jacks bulldozed house lived Saying overrated Tracy Jacks Tracy Jacks Tracy Jacks Tracy Jacks Everyday got closer knew heart love stay normal But always overrated,alternative rock
got style Ill take time All losers piss dose dose away Thats way Thats way Ive got trimm trabb Like flash boys And cant back Let flow let flow sleep alone sleep alone Thats way Just way Just way Just way Just way Thats way got trimm trabb Like flash boys And cant back Let flow let flow sleep alone sleep alone,alternative rock
message centre Local direct Room room operator call And collect Youre made shiny today Theres much trouble Your thoughts Pissing away Its much trouble manager And control local delegator offer guarantee Youre made shiny today Its much trouble Your thoughts Pissing away Its much trouble new typeface new day Its much trouble You cant remember ten minutes ago Its much trouble Too much trouble,alternative rock
Uncle Love got message God That driving crazy Tomorrow says doctor comes With drink make lazy Did realize Uncle Loves Got eight ball hand Everything sticks like glue But makes lazy You hear say About everyday You hear say Uncle Loves going get Uncle Love got message God That driving crazy Everything sticks like glue But makes lazy You hear say About everyday You hear say Uncle Loves going get,alternative rock
There blue skies city today Everything sinking Said snow would come Sunday The old school due traffic grew Upon Westway Where stood watching comets lonesome trails Shining jet fuel fell Down earth money always comes first And sirens sing Bring day switch machines Cause men yellow jackets putting adverts inside dreams automated song whole world gone Fallen spell distance communicate Still picking shortwave Somewhere theyre space depends youre wired nights fire Under Westway Now magic arrows hitting bull Doing one eighty still standing last call When flags coming And Last Post sounds Just like love song For way feel Paradise lost permanent basis apologize But going sing Hallelujah Sing loud sing lost sea Til tide wash Westway,alternative rock
random west side Personality malfunction says cant give anything Just room bad view sent letter downstat Saying sorry missed But cant think anything Hes addicted time track Oooooo technical Hes hotel Saying Ive lost memory Its surprising quickly things end Like hero platform friends This table crowded With people dont know And never really turn thoughts image breaks Oooooo technical suppose shady least lights Advertising posters wall And young ones singing softly ever come back always wrong time could crawl around floor like real And move hand front eyes Oooooo technical,alternative rock
Good morning Wake Wake purpose polite efficiency Stuff vitamin pills half guarantee kiss cuddle lucky girl You get fed watered Makes hair curl And day draws You put record Put something gentle And wait cows come home Wake little voice says eagerly You mustnt let sink financally Dont listen accusation youre tight You could first man street get right And day draws You going waltz time For good time Wait cows come home Wake porpuse polite efficiency get fed watered good company And day draws You waltz time Wait cows come home All life,alternative rock
Heres one head The one bounced straight The rubber soul Its good advice For everyone You end started crawling always bouncing Again find yet another always bouncing Seven days seven days Heres one far away The way lose confidence say For Leave quick always bouncing Again find yet another always bouncing Seven days seven days Always seven days Always seven days Always always always always bouncing Again find yet another always bouncing Seven days seven days,alternative rock
sticks sand lost money lost hands Blood brain much salt veins And thought pain clean And thought hearts strong But bones arent sticks anymore And day far long many days never needing grace Live kicks danger thered beauty anyway And thought pain clean And thought hearts strong But bones arent sticks anymore And day far long,alternative rock
Its six oclock dot half way home feel foul mouthed stand wait underground And nervous disposition doesnt agree need something remind theres something else You need holiday somewhere sun With people waiting never seems one Say something say something else Say something say something else Advertisements rapid persuasion stare long lose appetite nervous disposition doesnt agree You need fast relief aches stomach pains need holiday somewhere sun With people waiting never seems one Say something say something else Say something say something else You need holiday somewhere sun With people waiting never seems one Say something say something else Say something say something else Say something say something else Say something say something else,alternative rock
Give gas gets much Not uncommon thing Everyone Here fours Got bright ideas win wars All want ever want Listen something say nothing All want anybody wants Listen something hear nothing Another episode got binned Next weeks repeat sees living Inconsequence Vitality Struck hidden eyes All want ever want Listen something say nothing All want anybody wants Listen something hear nothing All want ever want Listen something say nothing All want anybody wants Listen something hear nothing Listen something hear nothing,alternative rock
Put new Tshirt wash face beer Fall crowd disappear teenage magazines shopping malls Walk wildlife miles miles Hold breath count hundred ten And back hill start Watching spiders bedroom ceiling They got big plans theyre breathing Feel frisson tomorrow today could get wont away nothing impress friends Just rub eyes hours end England love lost made look fool need someone tell everythingll alright need someone wholl hold day turns night need someone loves say thats true And line double bill Surrogate heroes films Ive never met anyone like Ive never done things like,alternative rock
Brothers sisters Rebuild lives Were drug takers Give something tonight cartoon ketamine Jelly mixed margarine White doves war machine Every body movin Cocaine murderers Codeine jurors Caffeine All people horny Crackwhores back town Eggships sniffing benelyn Burning oil Smoking makes holy Textin abbreviates brain Aspirin takes away pain Rock everyone Thats way Brothers sisters Rebuild lives Were drug takers Give something tonight Rohypnol like chloroform Sugar day born Washed like dinosaur Really dont believe Sticky sniffing superglue sulphates keep zoo Monkeys turning Everybody horney Acid good moors Gimpo stops getting bored Betas busy making laws Procaine stops screaming Librium anxiety Drinking society Thats way thats way even pissed,alternative rock
Ive gotta get Ive gotta get Ive got get better Will love forever Ive gotta find genius Ive gotta get better Ive gotta stop smoking Ive gotta get better Caramel Caramel Where magic Ive gotta get better lord give magic Ill love forever Ive gotta find mounts hill And live mountains Ill love forever You areAnd,alternative rock
Caravan lost sun dust Noone loves When lost Yeah Ive clown Trying pull whole world thought strong But one And comes youll feel weight The weight And day youll get away Away Sometimes everything easy Sometimes everything easy try quit But heart wont buy got family The caravan comes back And comes youll feel weight The weight And day youll get away Away Sometimes everything easy Sometimes everything easy,alternative rock
met crowded room Where people drink away gloom sat dawn began story charmless man Educated expensive way knows Claret Beaujolais think hed like Ronnie Kray But nature didnt make way thinks hes educated airs family shares Will protect respect moves circles friends Who pretend like put together Theres model charmless man knows swingers cavalry Says get anywhere free began little cross eyed And charmless man hide talks speed gets nosebleeds doesnt see days Are tumbling upon And yet tries hard please Hes keen listen But one listening And put together Theres model charmless man,alternative rock
The payme girl enough bleeps takes bus country Although got rosy cheeks She didnt leave enough money pay rent The landlord says shes week What shame getting comfy Now shes eating chocolate induce sleep chemical world cheap And dont know But theyre putting holes yes yes Its hell Theyve putting holes yes yes Peeping Thomas nice view Across street exhibitionist These townies never speak Just stick together never get lonely Feeling lead feeling quite lightheaded Had sit sugary tea chemical world chemical world Its cheap And dont know But theyre putting holes yes yes Its hell Theyve putting holes yes yes yes dont know But theyre putting holes yes yes Its hell Theyve putting holes yes yes And shes found But theyre putting holes yes yes Well dont know Theyve putting holes yes yes Until see right Until see right Until see right,alternative rock
You put together break bones wish never seen happy together would break bones wish never seen Ive got get close Ive got get close Spinning together watch wish never seen Ive got get close Ive got get close Ive got get close Ive got get close see Ive got get close,alternative rock
white cliffs Dover Thinking But jump cautionary tale like roll clover With white cliffs Dover And let push And fact Then actual fact Not And And fact Then actual fact Not And Yes And bluebirds Over white cliffs Dover push Dont bury worth anything,alternative rock
Colin Zeal knows value mass appeal Hes pedestrian walker hes civil talker Hes affable man plausible plan Keeps eye news keeps future hand Looks watch hes time yet Looks watch hes time yet Hes pleased hes pleased Hes pleased While sitting traffic Colin thinks automatic Hes immaculate dresser hes common aggressor Hes modern retard love bombast Keeps eye news doesnt dwells past Looks watch hes time yet Looks watch hes time yet Hes pleased hes pleased Hes pleased Hes pleased hes pleased Hes pleased Looks watch hes time yet Looks watch hes time yet Hes pleased hes pleased Hes pleased Hes pleased hes pleased Hes pleased Hes pleased hes pleased Hes pleased Hes pleased hes pleased Hes pleased Cause Colin Zeal knows,alternative rock
dont understand Youre walking All Well must mad And know You known anything Cant come together Why Why Cant come together Why Inside head Theres nothing left Its taken Been taken care Well know You known anything said And know Then known anything For Cant come together Why Why Cant come together Why,alternative rock
Primal evil Tonguetied til day die Theres love made mermaids Its distraction And tired care Cant see face face When feel strange When feel strange Its sorry state youre getting The excuse wearing thin Theres self control left What never And tired care Cant see face face When feel strange When feel strange And tired care Cant see face The emphisis coping Cant see face face When feel strange When feel strange,alternative rock
City dweller successful fella Thought Oops Ive got lot money caught rat race terminally professional cynic But hearts paying price living life limit Caught centurys anxiety preys hes getting thin Now lives house big house country Watching afternoon repeats And food eats country takes manner pills And piles analyst bills country Its like animal farm Lots rural charm country Now hes got morning glory lifes different story Everything going Jackanory touch mortality Hes reading Balzac knocking back Prozac Its helping hand That makes feel wonderfully bland centurys remedy faint heart new start lives house big house country Hes got fog chest needs lot rest country doesnt drink smoke laugh takes herbal baths country like animal farm But youll come harm country Blow blow sad dont know,alternative rock
Yeah found nowhere got know Let sleep day Spent money havent felt legs Since summer And dont call friends Forgot numbers VIP Have chances They Now stay nights Watch country sad ballad man come back roll Yeah bizzard And motor home Sweat pillow night VIP Have chances They Now stay nights Watch country sad ballad man,alternative rock
Crazy beat crazy beat yeah yeah Crazy beat crazy beat yeah yeah Crazy beat crazy beat yeah yeah Crazy beat crazy beat yeah yeah You got get together Youre shooting Youre teenage industry Why CIA fun They think youre clever cos youve blown lungs But love hear crazy beat Gets people dancing feet And love hear paradise love brothers Saturday night yeah Crazy beat crazy beat yeah yea Crazy beat crazy beat yeah yea Break mobile talking president got get money Ive spent Trying get party And even offered ecstasy But love hear crazy beat Gets people dancing feet And love hear paradise love sister love tonight Crazy beat crazy beat yeah yea Crazy beat crazy beat yeah yea Crazy beat crazy beat yeah yea Crazy beat crazy beat yeah yea Break upIts beat But love hear crazy beat Gets people dancing feet And love hear paradise love brothers Saturday night love hear crazy beat Gets people dancing feet And love hear paradise love feeling love tonight Yeah yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah,alternative rock
There flower within heart Daisy Daisy Planted one day glancing Dad Planted daisy bell Whether loves loves Sometimes hard tell Yet longing share lot beautiful daisy bell Daisy Daisy give heart half crazy hopeful love wont stylish marraige cant afford carriage But look sweet upon street bicycle built two tandem man wife Daisy Daisy Peddling way road life daisy bell When roads dispise Please men lambs well There bright lights dasling ice beautiful daisy bell Ill stand wear well Daisy Daisy Youll bell well try rip know Sweet little daisy bell Youll take lead trip take And dropped say heres drink beautiful daisy bell But look sweet upon street bicycle built two bicycle built two bicycle built two For two For two For two For two,alternative rock
She says theres ants carpet Dirty little monsters Eating morsels Picking rubbish Give effervescence She needs little sparkle Good morning Youre looking healthy say Dont want alone wear clothes Cause feel kiss dry lips When say goodnight End century nothing special Sex Everybodys The mind gets dirty get closer thirty gives cuddle Theyre glowing huddle Good night Youre made And youre looking like Can eat yes end century nothing special,alternative rock
The weekend back But Head floodlights See fraternity They waiting hear north And south And spewing Spewing mouth Entertain dating Bored minds agree Requirements stated Replies awaited She wants loose fit wants instant whip guesstimates arrival Will want really badly Entertain car house street The boredom sober week The weekends hip hip hooray make blues away Entertain,alternative rock
remember thinking murder car Watching dogs somersault Through sprinkles tiny laws remember graffiti children Coming spray cans paint remember sunset plains cement And way nights seems turn color orangeade town cellular phones hot thieves town terminal pubs helps sweat angry bits life From town English Army grind Their teeth glass Youll get kicked tonight Smell puke piss Smell puke piss stilettos Here comes panic attack heart stops starts Give drink Ill drink round Ill take round pole Its cold Youll catch flu youll catch city Either way youll catch flu youll catch city,alternative rock
Its pointless explain Theres nothing say words would meaningless Anyway seems cant trusted And dont disagree What made think ever really Wanted cant explain And dont know ever going want See Son dont ask came Theres nothing say dont think Ill staying long Anyway trying find came dont think see After,alternative rock
got licence got dirty knees Ive swinging trees paid member Ive eating fleas Running naked breeze Catatonia itch Catalonia stitch Ive running miles start tingle head toes tomorrow taint nose Hetty hetty hetty hetty taint nose Get cities return trees yeah yeah get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees Shes sort capital freeze Cos petrols done whole lot Catatonia itch Catalonia stitch Pray tomorrow itchy itchy itch map Get cities return trees yeah yeah get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees Get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees Get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees yeah yeah Get cities return trees,alternative rock
Who maddest one Who hasnt stopped sucking thumb Who straight never grins Who cares car hes driving saw commercial break And doesnt get wants hell get headache Because needs wants almost loves Hes globe alone Who joined health club glisten Into hifi precision Whose mobile phone gives bone Who keen Sharon Stone Who eats new brasserie Who ever gets merry Who wouldnt seen bedtime Without putting Calvin Kleins,alternative rock
gettin sad alone dancing Greedy gogetter goal luxury stealth seedy whole dancing get bed local looo local local head theres nothing addressed Theres nothing get cause time The shepherd undone done get ready greed gogetter con going local oohh going local oohh going loocal oohh going loocal oohh many western men problem left undone Imperious sign papers luxury greedy gogetter skybox run alone She get ready She She She She,alternative rock
Waiting got town hide The countrys got hold soul TVs dead aint war head And seem beautiful Sleeping works done could lying atom bomb Ill take care Cause know youll You seem beautiful rest life keeps rolling rolling Picture pocket looks like rest life keeps rolling rolling rolling along,alternative rock
